RD,L,SS,ST,MW,MM,C,RM,SNC,TC
0,0.145299145,1,E,0.191827742,B,4,5,0,3.576284444
0,0.145299145,0.75,E,0.166753773,D,0,11,DC,2.111799457
0,0.145299145,0.75,E,0.166753773,D,2,11,DC,2.963853657
0,0.145299145,0.625,E,0.166753773,D,5,11,0,2.048257716
0,0.145299145,0,N,0.170004107,N,0,9,0,2.571387205
0,0.179487179,0.75,E,0.059771396,A,0,1,0,2.385625488
0,0.179487179,1,E,0.05941162,A,0,1,0,2.289200923
0,0.230769231,0.75,E,0.078646532,A,0,1,0,2.484423783
0,0.230769231,1,E,0.078646532,A,0,1,0,2.399431093
0,0.230769231,1,E,0.295606301,B,0,5,0,3.920397719
0,0.230769231,0.75,E,0.295606301,B,5,5,0,3.953527839
0,0.230769231,1,E,0.295606301,B,5,5,0,3.934598452
0,0.230769231,1,E,0.257995232,D,5,11,0,2.185071584
0,0.316239316,0.75,E,0.399384745,B,5,5,0,4.206690831
0,0.316239316,0.75,E,0.349236806,D,5,11,0,2.379570115
0,0.017094017,0.75,E,0,A,0,1,0,1.98687947
0,0.017094017,1,E,0,A,0,1,0,1.842997587
0,0.017094017,0,N,0.036159962,B,4,5,0,2.203569185
0,0.401709402,1,E,0.141563687,A,0,1,0,2.693144799
0,0.401709402,0,N,0.440478265,D,0,11,0,1.812267077
0,0.401709402,0,N,0.440478265,D,2,11,0,3.523349496
0,0.025641026,0.75,E,0.046537829,B,5,5,0,2.77773987
0,0.025641026,0.75,E,0.039015661,D,5,11,0,2.032424617
0,0.487179487,0.75,E,0.53171984,D,0,11,DC,2.484055454
0,0.487179487,0.75,E,0.53171984,D,2,11,DC,3.813703201
0,0.034188034,0.75,E,0.056915697,B,5,5,0,2.866997644
0,0.034188034,0.75,E,0.048139796,D,5,11,0,2.044557223
0,0.572649573,1,E,0.204480843,A,0,1,0,2.91988989
0,0.042735043,0,N,0.067293564,B,4,5,0,2.610958589
0,0.042735043,0,N,0.067293564,B,5,5,0,2.653182738
0,0.042735043,0.75,E,0.05726393,D,5,11,0,2.056544391
0,0.05982906,0.75,E,0.088049299,B,5,5,0,3.095065532
0,0.05982906,1,E,0.088049299,B,5,5,0,3.049812516
0,0.05982906,0.75,E,0.075512199,D,5,11,0,2.080096077
0,0.829059829,0.75,E,0.298856635,A,0,1,0,3.225187981
0,0.076923077,0,N,0.108804918,B,5,5,0,3.005939849
0,0.076923077,0,N,0.095710783,N,0,9,0,2.13259823
0,0.076923077,0.75,E,0.103372267,S,5,3,0,2.792207141
0,1,0,N,0.108804918,B,4,5,0,2.979864849
0,1,0,N,0.108804918,B,5,5,0,3.005939849
0,0.078632479,1,E,0.21155459,B,0,5,0,3.644392889
0,0.102564103,0.75,E,0.139938521,B,5,5,0,3.387647259
0,0.111111111,0.75,E,0.150316388,B,5,5,0,3.437135534
0,0.111111111,0,N,0.132857387,N,0,9,0,2.375868733
1,0.145299145,0,N,0.082578789,A,0,2,0,1.939422866
1,0.145299145,1,E,0.082578789,A,0,2,0,2.38544868
1,0.145299145,0,N,0.308578549,B,0,7,0,3.8155997
1,0.145299145,1,E,0.308578549,B,5,8,0,3.943061547
1,0.145299145,0.75,E,0.269400487,D,0,12,DC,2.334810724
1,0.145299145,1,E,0.269400487,D,0,12,DC,2.235398268
1,0.145299145,0.75,E,0.269400487,D,2,12,DC,3.320924053
1,0.145299145,1,E,0.269400487,D,2,12,DC,3.284986435
1,0.145299145,0,N,0.269400487,D,5,12,0,1.810715333
1,0.145299145,0,N,0.274479133,N,0,10,0,2.976503327
1,0.145299145,0,N,0.294430941,S,0,4,0,3.312408426
1,0.145299145,0,N,0.294430941,S,5,4,0,3.338338374
1,0.162393162,0.75,E,0.341009399,B,5,8,0,4.044831664
1,0.179487179,0.75,E,0.373440134,B,4,8,0,4.119960472
1,0.196581197,0,N,0.405870984,B,5,8,0,4.115960512
1,0,0.75,E,0.02780201,N,0,10,0,2.20556988
1,0.230769231,0,N,0.131732813,A,0,2,0,2.272036088
1,0.230769231,1,E,0.470732454,B,0,8,0,4.298579072
1,0.230769231,0,N,0.470732454,B,5,8,0,4.254293571
1,0.230769231,1,E,0.470732454,B,5,8,0,4.308329797
1,0.230769231,0.75,E,0.41196536,D,0,12,DC,2.508898366
1,0.230769231,0.75,E,0.41196536,D,2,12,DC,3.646206999
1,0.230769231,0,N,0.41196536,D,5,12,0,2.089230721
1,0.230769231,1,E,0.419583329,N,0,10,0,3.484461572
1,0.273504274,0.75,E,0.551809464,B,5,8,0,4.462033611
1,0.307692308,0.75,E,0.616671049,B,5,8,0,4.561840592
1,0.316239316,0.75,E,0.180886953,A,0,2,0,2.852440719
1,0.316239316,1,E,0.180886953,A,0,2,0,2.794394734
1,0.316239316,0.75,E,0.632886474,B,5,8,0,4.585310042
1,0.316239316,0.75,E,0.554530118,D,5,12,0,2.703310587
1,0.316239316,0,N,0.56468741,N,0,10,0,3.631574256
