GC,CS,HD,NH,GBH,MW,PT,ID,OD,C,CT,TC
DIN,0.016025641,0.428571429,1,0,0,0.10091702,0.158333333,0.189655172,Tin,0.014178811,0.614428097
DIN,0.030448718,0,0,0,0.001351109,0.005555929,0.291666667,0.344827586,Tin,0.03751477,0.097709733
DIN,0.030448718,0.714285714,1,0,0.001351109,0.186500303,0.291666667,0.344827586,Tin,0.03751477,0.684758778
DIN,0.046474359,0.857142857,1,0,0.039500468,0.063281092,0.341666667,0.431034483,None,0,1.023108651
DIN,0.102564103,0,0,0,0.078977564,0.032707787,0.479166667,0.568965517,Tin,0.059570697,1.330955319
DIN,0.102564103,0.714285714,1,0,0.078977564,0.062386494,0.479166667,0.568965517,Tin,0.059570697,1.60777938
DIN,0.182692308,0.714285714,1,0,0.138341786,0.279836775,0.645833333,0.724137931,Tin,0.131350926,8.057047369
DIN,0.230769231,0.857142857,2,0.75,0.327784214,0.694867828,0.708333333,0.810344828,Tin,0.450472627,8.486443983
DIN,0.286858974,1,1,0,0.236316124,0.188948678,0.791666667,0.879310345,Tin,0.2390705,9.51496585
DIN,0.375,0,0,0,0.339621445,0.038028295,0.895833333,1,Tin,0.465143757,6.113645861
DIN,0.375,0.857142857,2,1,0.519209902,0.37910585,0.895833333,1,Tin,0.388637259,18.77955177
DIN,0.375,0.857142857,2,0.75,0.503628741,0.437270465,0.895833333,1,Tin,0.450472627,7.578869449
DIN,0.375,1,1,0,0.335574795,0.065509742,0.895833333,1,Tin,0.465143757,5.052672768
DIN,0.046474359,0,0,0,0.039500468,1,0.341666667,0.431034483,Tin,0.083792832,6.105889385
DIN,0.286858974,0,0,0,0.236316124,0.331629336,0.791666667,0.879310345,Tin,0.2390705,3.292699673
DIN,0.182692308,0,0,0,0.138341786,0.30494832,0.645833333,0.724137931,Tin,0.131350926,4.154829837
DIN,1,0,0,0,1,0.352785812,0,0,Tin,1,17.34499446
Forend,0.030448718,0,0,0,0.006278095,0.003013385,0.291666667,0.310344828,Tin,0.015557306,0.418179908
Forend,0.102564103,0,0,0,0.028923086,0.004849667,0.5,0.517241379,Tin,0.059570697,1.05958772
Forend,0.182692308,0,0,0,0.059245137,0.012273267,0.625,0.655172414,Tin,0.086352895,0.736682478
Forend,0.230769231,0,0,0,0.067929408,0.010860743,0.666666667,0.689655172,Tin,0.138637259,2.136670996
Forend,0.375,0,0,0,0.130924041,0.040790565,0.875,0.862068966,Tin,0.465143757,1.467561333
Forend,0.006410256,0,0,0,0.002072294,0.00877196,0.1875,0.206896552,Tin,0.009846396,0.304610894
Forend,0.016025641,0,0,0,0.004267012,0.00102071,0.25,0.275862069,Tin,0.014178811,0.258823419
Forend,0.030448718,0.714285714,1,0,0.006278095,0.039727497,0.291666667,0.310344828,Tin,0.015557306,0.882597916
Forend,0.030448718,0.428571429,1,0,0.006278095,0.037249778,0.291666667,0.310344828,Tin,0.015557306,0.831754863
Forend,0.046474359,0,0,0,0.012598481,0.011563256,0.333333333,0.379310345,Tin,0.083792832,0.676511268
Forend,0.070512821,0,0,0,0.021411853,0.00118636,0.416666667,0.448275862,Tin,0.034166995,0.728854155
Forend,0.142628205,0,0,0,0.037358058,0.015881341,0.583333333,0.586206897,Tin,0.055730603,1.636131352
Forend,0.286858974,0,0,0,0.106290226,0.03641336,0.791666667,0.793103448,Tin,0.2390705,3.705118163
Forend Standard,0.230769231,0,0,0,0.088614512,0.009102935,0.666666667,0.689655172,Tin,0.138637259,2.8339465
Forend Standard,0.030448718,0,0,0,0.009260774,0.001925419,0.291666667,0.310344828,Tin,0.015557306,0.421464141
Forend Standard,0.046474359,0,0,0,0.020907692,0.000533812,0.333333333,0.379310345,Tin,0.083792832,0.450118923
Forend Standard,0.070512821,0,0,0,0.027817936,0.006490732,0.416666667,0.448275862,Tin,0.034166995,1.005450484
Forend Standard,0.102564103,0,0,0,0.037194456,0.012781483,0.5,0.517241379,Tin,0.059570697,1.326586624
Forend Standard,0.142628205,0,0,0,0.047539234,0.015523156,0.583333333,0.586206897,Tin,0.055730603,1.552365667
Forend Standard,0.182692308,0,0,0,0.077206877,0.008016003,0.625,0.655172414,Tin,0.086352895,1.111735579
Forend Standard,0.286858974,0,0,0,0.108922329,0.040390475,0.791666667,0.793103448,Tin,0.2390705,3.65818465
Forend Standard,0.375,0,0,0,0.133869993,0.031593483,0.875,0.862068966,Tin,0.465143757,5.37115553
Forend Standard,0.471153846,0,0,0,0.222594686,0.059718392,1,1,Tin,0.468885388,3.096923068
