W,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,TS1,TS2,TS3,TS4,TS5,TS6,TS7,TS8,H1,H2,H3,H4,V,NinB,NW,GW,L,W,D,Paint,LC,PVCT,C,A,PP,ABS,PC,NAT,R,ESM,i20,CF,S,PVC,Type,Pack,Stick,WPL,TC
88,11500,0,0,0,0,2100,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,36,4850,5050,565,350,300,1.4,2,20,1,1,0,0,0,0,0,0,0,0,0,0,B,1,0,1,1.821909845
110,11500,1150,0,0,0,2100,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,24,3480,4210,565,350,300,1.1,2,20,1,1,0,0,0,0,0,0,0,0,0,0,B,1,0,1,3.766430195
65,0,0,0,0,0,1000,0,0,0,0,0,0,0,11500,0,0,0,0,0,0,0,0,0,9,50,4700,5210,565,350,300,0.9,1,20,1,1,0,0,0,0,0,0,0,0,0,0,B,1,0,1,2.031197059
105,0,0,0,0,0,0,0,0,0,0,0,11500,0,0,0,0,0,0,0,950,0,0,0,6,36,5650,6630,560,470,330,1.2,1,20,1,1,0,0,0,0,0,0,0,0,0,0,B,1,0,1,5.652186533
22,0,0,0,0,0,0,0,0,0,0,0,2400,0,0,0,0,0,0,0,0,0,0,0,0,100,2400,2700,330,260,195,0.9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,PB,1,0,0,1.366351627
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4800,0,0,0,0,0,0,0,0,144,2780,3230,330,310,350,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,DB,1,1,0,0.863876604
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,9,50,3750,4760,565,350,300,0.9,1,20,1,1,0,0,0,0,0,0,0,0,0,0,B,1,0,1,3.255400264
77,0,0,0,0,0,6000,0,0,0,0,0,0,0,1900,0,0,0,0,0,0,0,0,0,9,50,5350,6055,565,350,300,0.7,1,20,1,1,0,0,0,0,0,0,0,0,0,0,B,1,0,1,3.847558975
59,0,0,0,0,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,36,3420,4125,565,350,300,0.5,1,15,0,0,1,0,0,0,0,0,0,0,0,0,B,1,0,0,3.160039247
75,4400,0,0,0,0,900,0,0,0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,72,7010,9110,405,375,435,0.7,3,0,1,1,0,0,0,0,0,0,0,0,0,1,DB,1,1,0,2.907215369
31,0,0,0,0,0,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,120,4440,4915,420,305,250,0,1,15,0,0,0,0,0,0,0,1,0,0,0,0,B,1,1,1,1.042630442
